Company,Item,Category,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g
McDonalds,Premium Bacon Ranch Salad with Grilled Chicken,Salad,260.0,9.0,4.0,0.0,90,1010,12,3,5,33.0
McDonalds,Premium Bacon Ranch Salad with Crispy Chicken,Salad,370.0,20.0,6.0,0.0,75,970,20,3,6,29.0
McDonalds,Premium Bacon Ranch Salad (without chicken),Salad,140.0,7.0,3.5,0.0,25,300,10,3,4,9.0
McDonalds,Premium Caesar Salad with Grilled Chicken,Salad,220.0,6.0,3.0,0.0,75,890,12,3,5,30.0
McDonalds,Premium Caesar Salad with Crispy Chicken,Salad,330.0,17.0,4.5,0.0,60,840,20,3,6,26.0
McDonalds,Premium Caesar Salad (without chicken),Salad,90.0,4.0,2.5,0.0,10,180,9,3,4,7.0
McDonalds,Side Salad,Salad,20.0,0.0,0.0,0.0,0,10,4,1,2,1.0
McDonalds,Butter Garlic Croutons,Extra,60.0,1.5,0.0,0.0,0,140,10,1,0,2.0
McDonalds,Snack Size Fruit & Walnut Salad,Salad,210.0,8.0,1.5,0.0,5,60,31,2,25,4.0
McDonalds,Newman’s Own Creamy Southwest Dressing,Extra,100.0,6.0,1.0,0.0,20,340,11,0,3,1.0
McDonalds,Newman’s Own Creamy Caesar Dressing,Extra,190.0,18.0,3.5,0.0,20,500,4,0,2,2.0
McDonalds,Newman’s Own Low Fat Balsamic Vinaigrette,Extra,40.0,3.0,0.0,0.0,0,730,4,0,3,0.0
McDonalds,Newman’s Own Low Fat Family Recipe Italian Dressing,Extra,60.0,2.5,0.0,0.0,0,730,8,0,1,1.0
McDonalds,Newman’s Own Ranch Dressing,Extra,170.0,15.0,2.5,0.0,20,530,9,0,4,1.0
McDonalds,Egg McMuffin,Breakfast,300.0,12.0,5.0,0.0,260,820,30,2,3,18.0
McDonalds,Sausage McMuffin,Breakfast,370.0,22.0,8.0,0.0,45,850,29,2,2,14.0
McDonalds,Sausage McMuffin with Egg,Breakfast,450.0,27.0,10.0,0.0,285,920,30,2,2,21.0
McDonalds,English Muffin,Breakfast,160.0,3.0,0.5,0.0,0,280,27,2,2,5.0
McDonalds,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",Breakfast,420.0,23.0,12.0,0.0,235,1160,37,2,3,15.0
McDonalds,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",Breakfast,480.0,27.0,12.0,0.0,235,1270,43,3,4,15.0
McDonalds,Sausage Biscuit with Egg (Regular Size Biscuit),Breakfast,510.0,33.0,14.0,0.0,250,1170,36,2,2,18.0
McDonalds,Sausage Biscuit with Egg (Large Size Biscuit),Breakfast,570.0,37.0,15.0,0.0,250,1280,42,3,3,18.0
McDonalds,Sausage Biscuit (Regular Size Biscuit),Breakfast,430.0,27.0,12.0,0.0,30,1080,34,2,2,11.0
